id,matiere_id,matiere_nom,enseignant_id,enseignant_nom,niveau,duree,annee_scolaire
"52","174","Français Primaire 18","3","Modou Mbaye","Primaire","45","2024-2025"
"53","237","Anglais Primaire 24","10","Modou Kane","Primaire","55","2024-2025"
"54","136","Histoire-Géographie Technique 14","12","Seynabou Ba","Technique","45","2024-2025"
"55","192","Sciences Naturelles Primaire 20","11","Binta Thiam","Primaire","90","2024-2025"
"56","30","Informatique Primaire 4","2","Yacine Diouf","Primaire","45","2024-2025"
"57","96","Anglais Primaire 10","10","Modou Kane","Primaire","55","2024-2025"
"58","109","Sciences Naturelles Technique 11","11","Binta Thiam","Technique","55","2024-2025"
"59","220","Sciences Physiques Primaire 23","17","Ndeye Diallo","Primaire","45","2024-2025"
"60","140","Sciences Naturelles Lycée 15","11","Binta Thiam","Lycée","55","2024-2025"
"61","191","Histoire-Géographie Lycée 20","12","Seynabou Ba","Lycée","90","2024-2025"
"62","154","Français Technique 16","3","Modou Mbaye","Technique","90","2024-2025"
"63","47","Informatique Collège 5","2","Yacine Diouf","Collège","55","2024-2025"
"64","94","Éducation Physique Primaire 10","4","Alioune Diouf","Primaire","55","2024-2025"
"65","201","Mathématiques Lycée 21","8","Aminata Sarr","Lycée","90","2024-2025"
"66","99","Informatique Primaire 10","2","Yacine Diouf","Primaire","90","2024-2025"
"67","158","Sciences Naturelles Lycée 16","11","Binta Thiam","Lycée","55","2024-2025"
"68","118","Mathématiques Collège 12","8","Aminata Sarr","Collège","55","2024-2025"
"69","142","Arts Collège 15","5","Babacar Cisse","Collège","55","2024-2025"
"70","109","Sciences Naturelles Technique 11","11","Binta Thiam","Technique","55","2024-2025"
"71","130","Anglais Technique 14","10","Modou Kane","Technique","55","2024-2025"
"72","174","Français Primaire 18","3","Modou Mbaye","Primaire","55","2024-2025"
"73","53","Informatique Collège 6","2","Yacine Diouf","Collège","55","2024-2025"
"74","37","Informatique Technique 4","2","Yacine Diouf","Technique","55","2024-2025"
"75","138","Sciences Physiques Collège 14","17","Ndeye Diallo","Collège","55","2024-2025"
"76","54","Sciences Physiques Lycée 6","17","Ndeye Diallo","Lycée","90","2024-2025"
"77","208","Informatique Collège 21","2","Yacine Diouf","Collège","45","2024-2025"
"78","185","Sciences Physiques Collège 19","17","Ndeye Diallo","Collège","45","2024-2025"
"79","186","Français Technique 19","3","Modou Mbaye","Technique","55","2024-2025"
"80","164","Sciences Physiques Technique 17","17","Ndeye Diallo","Technique","90","2024-2025"
"81","214","Sciences Physiques Collège 22","17","Ndeye Diallo","Collège","55","2024-2025"
"82","204","Histoire-Géographie Lycée 21","12","Seynabou Ba","Lycée","45","2024-2025"
"83","245","Sciences Physiques Technique 25","17","Ndeye Diallo","Technique","55","2024-2025"
"84","106","Français Collège 11","3","Modou Mbaye","Collège","55","2024-2025"
"85","127","Mathématiques Collège 13","8","Aminata Sarr","Collège","45","2024-2025"
"86","154","Français Technique 16","3","Modou Mbaye","Technique","55","2024-2025"
"87","61","Informatique Technique 7","2","Yacine Diouf","Technique","90","2024-2025"
"88","138","Sciences Physiques Collège 14","17","Ndeye Diallo","Collège","90","2024-2025"
"89","74","Français Technique 8","3","Modou Mbaye","Technique","55","2024-2025"
"90","155","Arts Primaire 16","5","Babacar Cisse","Primaire","90","2024-2025"
"91","66","Histoire-Géographie Technique 7","12","Seynabou Ba","Technique","45","2024-2025"
"92","36","Sciences Physiques Technique 4","17","Ndeye Diallo","Technique","90","2024-2025"
"93","110","Arts Collège 12","5","Babacar Cisse","Collège","55","2024-2025"
"94","101","Sciences Physiques Primaire 11","17","Ndeye Diallo","Primaire","45","2024-2025"
"95","195","Mathématiques Primaire 20","8","Aminata Sarr","Primaire","55","2024-2025"
"96","49","Éducation Physique Lycée 5","4","Alioune Diouf","Lycée","55","2024-2025"
"97","48","Informatique Collège 5","2","Yacine Diouf","Collège","55","2024-2025"
"98","96","Anglais Primaire 10","10","Modou Kane","Primaire","90","2024-2025"
"99","119","Mathématiques Primaire 12","8","Aminata Sarr","Primaire","55","2024-2025"
"100","124","Sciences Physiques Collège 13","17","Ndeye Diallo","Collège","45","2024-2025"
"101","201","Mathématiques Lycée 21","8","Aminata Sarr","Lycée","45","2024-2025"
"102","210","Arts Collège 22","5","Babacar Cisse","Collège","45","2024-2025"
"103","227","Éducation Physique Primaire 23","4","Alioune Diouf","Primaire","90","2024-2025"
"104","133","Histoire-Géographie Lycée 14","12","Seynabou Ba","Lycée","55","2024-2025"
"105","162","Français Primaire 17","3","Modou Mbaye","Primaire","90","2024-2025"
"106","35","Arabe Lycée 4","1","Amadou Mbaye","Lycée","45","2024-2025"
"107","51","Sciences Naturelles Primaire 6","11","Binta Thiam","Primaire","45","2024-2025"
"108","42","Arabe Collège 5","1","Amadou Mbaye","Collège","45","2024-2025"
"109","20","Éducation Physique Collège 3","4","Alioune Diouf","Collège","45","2024-2025"
"110","199","Sciences Naturelles Technique 20","11","Binta Thiam","Technique","55","2024-2025"
"111","77","Arts Technique 8","5","Babacar Cisse","Technique","45","2024-2025"
"112","98","Arabe Primaire 10","1","Amadou Mbaye","Primaire","45","2024-2025"
"113","136","Histoire-Géographie Technique 14","12","Seynabou Ba","Technique","45","2024-2025"
"114","31","Arts Primaire 4","5","Babacar Cisse","Primaire","55","2024-2025"
"115","235","Arts Lycée 24","5","Babacar Cisse","Lycée","55","2024-2025"
"116","233","Informatique Primaire 24","2","Yacine Diouf","Primaire","55","2024-2025"
"117","1","Sciences Naturelles Lycée 1","11","Binta Thiam","Lycée","45","2024-2025"
"118","111","Arabe Lycée 12","1","Amadou Mbaye","Lycée","55","2024-2025"
"119","246","Sciences Naturelles Collège 25","11","Binta Thiam","Collège","90","2024-2025"
"120","97","Sciences Naturelles Primaire 10","11","Binta Thiam","Primaire","55","2024-2025"
"121","63","Éducation Physique Lycée 7","4","Alioune Diouf","Lycée","45","2024-2025"
"122","178","Anglais Lycée 18","10","Modou Kane","Lycée","90","2024-2025"
"123","244","Arabe Technique 25","1","Amadou Mbaye","Technique","55","2024-2025"
"124","162","Français Primaire 17","3","Modou Mbaye","Primaire","45","2024-2025"
"125","212","Informatique Technique 22","2","Yacine Diouf","Technique","45","2024-2025"
"126","110","Arts Collège 12","5","Babacar Cisse","Collège","55","2024-2025"
"127","132","Sciences Physiques Lycée 14","17","Ndeye Diallo","Lycée","45","2024-2025"
"128","61","Informatique Technique 7","2","Yacine Diouf","Technique","90","2024-2025"
"129","57","Arabe Primaire 6","1","Amadou Mbaye","Primaire","45","2024-2025"
"130","169","Mathématiques Technique 17","8","Aminata Sarr","Technique","55","2024-2025"
"131","220","Sciences Physiques Primaire 23","17","Ndeye Diallo","Primaire","55","2024-2025"
"132","45","Informatique Primaire 5","2","Yacine Diouf","Primaire","45","2024-2025"
"133","21","Français Technique 3","3","Modou Mbaye","Technique","55","2024-2025"
"134","189","Informatique Primaire 19","2","Yacine Diouf","Primaire","90","2024-2025"
"135","89","Informatique Lycée 9","2","Yacine Diouf","Lycée","45","2024-2025"
"136","216","Anglais Collège 22","10","Modou Kane","Collège","55","2024-2025"
"137","142","Arts Collège 15","5","Babacar Cisse","Collège","55","2024-2025"
"138","186","Français Technique 19","3","Modou Mbaye","Technique","55","2024-2025"
"139","204","Histoire-Géographie Lycée 21","12","Seynabou Ba","Lycée","45","2024-2025"
"140","104","Mathématiques Lycée 11","8","Aminata Sarr","Lycée","55","2024-2025"
"141","171","Anglais Lycée 18","10","Modou Kane","Lycée","45","2024-2025"
"142","117","Arabe Collège 12","1","Amadou Mbaye","Collège","90","2024-2025"
"143","174","Français Primaire 18","3","Modou Mbaye","Primaire","55","2024-2025"
"144","206","Histoire-Géographie Primaire 21","12","Seynabou Ba","Primaire","55","2024-2025"
"145","163","Arts Lycée 17","5","Babacar Cisse","Lycée","90","2024-2025"
"146","135","Sciences Naturelles Primaire 14","11","Binta Thiam","Primaire","45","2024-2025"
"147","72","Informatique Collège 8","2","Yacine Diouf","Collège","45","2024-2025"
"148","93","Éducation Physique Primaire 10","4","Alioune Diouf","Primaire","55","2024-2025"
"149","216","Anglais Collège 22","10","Modou Kane","Collège","90","2024-2025"
"150","38","Informatique Primaire 4","2","Yacine Diouf","Primaire","55","2024-2025"
"151","109","Sciences Naturelles Technique 11","11","Binta Thiam","Technique","55","2024-2025"
"152","110","Arts Collège 12","5","Babacar Cisse","Collège","45","2024-2025"
"153","151","Mathématiques Collège 16","8","Aminata Sarr","Collège","45","2024-2025"
"154","183","Arts Collège 19","5","Babacar Cisse","Collège","90","2024-2025"
"155","81","Informatique Collège 9","2","Yacine Diouf","Collège","45","2024-2025"
"156","217","Mathématiques Technique 22","8","Aminata Sarr","Technique","45","2024-2025"
"157","133","Histoire-Géographie Lycée 14","12","Seynabou Ba","Lycée","55","2024-2025"
"158","43","Sciences Physiques Collège 5","17","Ndeye Diallo","Collège","45","2024-2025"
"159","238","Informatique Primaire 24","2","Yacine Diouf","Primaire","55","2024-2025"
"160","185","Sciences Physiques Collège 19","17","Ndeye Diallo","Collège","90","2024-2025"
"161","115","Arts Primaire 12","5","Babacar Cisse","Primaire","55","2024-2025"
"162","109","Sciences Naturelles Technique 11","11","Binta Thiam","Technique","45","2024-2025"
"163","249","Mathématiques Lycée 25","8","Aminata Sarr","Lycée","55","2024-2025"
"164","214","Sciences Physiques Collège 22","17","Ndeye Diallo","Collège","45","2024-2025"
"165","5","Mathématiques Primaire 1","8","Aminata Sarr","Primaire","45","2024-2025"
"166","17","Informatique Technique 2","2","Yacine Diouf","Technique","90","2024-2025"
"167","216","Anglais Collège 22","10","Modou Kane","Collège","55","2024-2025"
"168","103","Mathématiques Technique 11","8","Aminata Sarr","Technique","45","2024-2025"
"169","232","Sciences Naturelles Primaire 24","11","Binta Thiam","Primaire","55","2024-2025"
"170","242","Éducation Physique Primaire 25","4","Alioune Diouf","Primaire","90","2024-2025"
"171","43","Sciences Physiques Collège 5","17","Ndeye Diallo","Collège","90","2024-2025"
"172","155","Arts Primaire 16","5","Babacar Cisse","Primaire","55","2024-2025"
"173","82","Sciences Naturelles Primaire 9","11","Binta Thiam","Primaire","45","2024-2025"
"174","154","Français Technique 16","3","Modou Mbaye","Technique","55","2024-2025"
"175","227","Éducation Physique Primaire 23","4","Alioune Diouf","Primaire","55","2024-2025"
"176","39","Anglais Technique 4","10","Modou Kane","Technique","45","2024-2025"
"177","140","Sciences Naturelles Lycée 15","11","Binta Thiam","Lycée","90","2024-2025"
"178","128","Arabe Collège 13","1","Amadou Mbaye","Collège","90","2024-2025"
"179","17","Informatique Technique 2","2","Yacine Diouf","Technique","45","2024-2025"
"180","116","Mathématiques Primaire 12","8","Aminata Sarr","Primaire","55","2024-2025"
"181","2","Français Collège 1","3","Modou Mbaye","Collège","90","2024-2025"
"182","154","Français Technique 16","3","Modou Mbaye","Technique","45","2024-2025"
"183","200","Anglais Lycée 21","10","Modou Kane","Lycée","55","2024-2025"
"184","76","Mathématiques Technique 8","8","Aminata Sarr","Technique","90","2024-2025"
"185","108","Éducation Physique Primaire 11","4","Alioune Diouf","Primaire","55","2024-2025"
"186","88","Informatique Collège 9","2","Yacine Diouf","Collège","90","2024-2025"
"187","66","Histoire-Géographie Technique 7","12","Seynabou Ba","Technique","45","2024-2025"
"188","151","Mathématiques Collège 16","8","Aminata Sarr","Collège","45","2024-2025"
"189","204","Histoire-Géographie Lycée 21","12","Seynabou Ba","Lycée","90","2024-2025"
"190","55","Mathématiques Primaire 6","8","Aminata Sarr","Primaire","55","2024-2025"
"191","188","Histoire-Géographie Lycée 19","12","Seynabou Ba","Lycée","90","2024-2025"
"192","110","Arts Collège 12","5","Babacar Cisse","Collège","55","2024-2025"
"193","247","Anglais Collège 25","10","Modou Kane","Collège","90","2024-2025"
"194","37","Informatique Technique 4","2","Yacine Diouf","Technique","90","2024-2025"
"195","87","Histoire-Géographie Lycée 9","12","Seynabou Ba","Lycée","45","2024-2025"
"196","213","Anglais Technique 22","10","Modou Kane","Technique","55","2024-2025"
"197","190","Anglais Lycée 20","10","Modou Kane","Lycée","45","2024-2025"
"198","15","Histoire-Géographie Technique 2","12","Seynabou Ba","Technique","90","2024-2025"
"199","22","Sciences Physiques Primaire 3","17","Ndeye Diallo","Primaire","55","2024-2025"
"200","196","Français Lycée 20","3","Modou Mbaye","Lycée","90","2024-2025"
"201","177","Anglais Primaire 18","10","Modou Kane","Primaire","90","2024-2025"
"202","60","Mathématiques Lycée 7","8","Aminata Sarr","Lycée","55","2024-2025"
"203","223","Sciences Physiques Technique 23","17","Ndeye Diallo","Technique","55","2024-2025"
"204","82","Sciences Naturelles Primaire 9","11","Binta Thiam","Primaire","90","2024-2025"
"205","245","Sciences Physiques Technique 25","17","Ndeye Diallo","Technique","45","2024-2025"
"206","223","Sciences Physiques Technique 23","17","Ndeye Diallo","Technique","55","2024-2025"
"207","45","Informatique Primaire 5","2","Yacine Diouf","Primaire","45","2024-2025"
"208","184","Arabe Technique 19","1","Amadou Mbaye","Technique","90","2024-2025"
"209","227","Éducation Physique Primaire 23","4","Alioune Diouf","Primaire","45","2024-2025"
"210","141","Éducation Physique Lycée 15","4","Alioune Diouf","Lycée","55","2024-2025"
"211","116","Mathématiques Primaire 12","8","Aminata Sarr","Primaire","90","2024-2025"
"212","220","Sciences Physiques Primaire 23","17","Ndeye Diallo","Primaire","55","2024-2025"
"213","19","Sciences Naturelles Collège 2","11","Binta Thiam","Collège","55","2024-2025"
"214","120","Éducation Physique Primaire 13","4","Alioune Diouf","Primaire","55","2024-2025"
"215","213","Anglais Technique 22","10","Modou Kane","Technique","90","2024-2025"
"216","80","Arabe Primaire 9","1","Amadou Mbaye","Primaire","45","2024-2025"
"217","36","Sciences Physiques Technique 4","17","Ndeye Diallo","Technique","45","2024-2025"
"218","62","Sciences Naturelles Technique 7","11","Binta Thiam","Technique","90","2024-2025"
"219","58","Sciences Physiques Collège 6","17","Ndeye Diallo","Collège","55","2024-2025"
"220","199","Sciences Naturelles Technique 20","11","Binta Thiam","Technique","45","2024-2025"
"221","38","Informatique Primaire 4","2","Yacine Diouf","Primaire","45","2024-2025"
"222","90","Arts Primaire 10","5","Babacar Cisse","Primaire","90","2024-2025"
"223","73","Histoire-Géographie Lycée 8","12","Seynabou Ba","Lycée","45","2024-2025"
"224","27","Histoire-Géographie Lycée 3","12","Seynabou Ba","Lycée","45","2024-2025"
"225","21","Français Technique 3","3","Modou Mbaye","Technique","55","2024-2025"
"226","136","Histoire-Géographie Technique 14","12","Seynabou Ba","Technique","55","2024-2025"
"227","85","Sciences Naturelles Lycée 9","11","Binta Thiam","Lycée","90","2024-2025"
"228","130","Anglais Technique 14","10","Modou Kane","Technique","90","2024-2025"
"229","217","Mathématiques Technique 22","8","Aminata Sarr","Technique","90","2024-2025"
"230","192","Sciences Naturelles Primaire 20","11","Binta Thiam","Primaire","55","2024-2025"
"231","212","Informatique Technique 22","2","Yacine Diouf","Technique","55","2024-2025"
"232","71","Anglais Collège 8","10","Modou Kane","Collège","45","2024-2025"
"233","172","Mathématiques Collège 18","8","Aminata Sarr","Collège","90","2024-2025"
"234","208","Informatique Collège 21","2","Yacine Diouf","Collège","55","2024-2025"
"235","39","Anglais Technique 4","10","Modou Kane","Technique","55","2024-2025"
"236","104","Mathématiques Lycée 11","8","Aminata Sarr","Lycée","55","2024-2025"
"237","193","Mathématiques Collège 20","8","Aminata Sarr","Collège","90","2024-2025"
"238","42","Arabe Collège 5","1","Amadou Mbaye","Collège","55","2024-2025"
"239","108","Éducation Physique Primaire 11","4","Alioune Diouf","Primaire","90","2024-2025"
"240","173","Éducation Physique Technique 18","4","Alioune Diouf","Technique","45","2024-2025"
"241","177","Anglais Primaire 18","10","Modou Kane","Primaire","55","2024-2025"
"242","11","Français Lycée 2","3","Modou Mbaye","Lycée","90","2024-2025"
"243","119","Mathématiques Primaire 12","8","Aminata Sarr","Primaire","90","2024-2025"
"244","50","Arabe Collège 6","1","Amadou Mbaye","Collège","55","2024-2025"
"245","90","Arts Primaire 10","5","Babacar Cisse","Primaire","45","2024-2025"
"246","191","Histoire-Géographie Lycée 20","12","Seynabou Ba","Lycée","90","2024-2025"
"247","105","Sciences Naturelles Collège 11","11","Binta Thiam","Collège","45","2024-2025"
"248","168","Français Primaire 17","3","Modou Mbaye","Primaire","55","2024-2025"
"249","241","Sciences Physiques Technique 25","17","Ndeye Diallo","Technique","90","2024-2025"
"250","229","Sciences Naturelles Lycée 23","11","Binta Thiam","Lycée","90","2024-2025"
"251","151","Mathématiques Collège 16","8","Aminata Sarr","Collège","45","2024-2025"
"252","223","Sciences Physiques Technique 23","17","Ndeye Diallo","Technique","90","2024-2025"
"253","158","Sciences Naturelles Lycée 16","11","Binta Thiam","Lycée","55","2024-2025"
"254","5","Mathématiques Primaire 1","8","Aminata Sarr","Primaire","90","2024-2025"
"255","108","Éducation Physique Primaire 11","4","Alioune Diouf","Primaire","45","2024-2025"
"256","150","Mathématiques Technique 16","8","Aminata Sarr","Technique","55","2024-2025"
"257","35","Arabe Lycée 4","1","Amadou Mbaye","Lycée","45","2024-2025"
"258","123","Anglais Primaire 13","10","Modou Kane","Primaire","90","2024-2025"
"259","117","Arabe Collège 12","1","Amadou Mbaye","Collège","90","2024-2025"
"260","37","Informatique Technique 4","2","Yacine Diouf","Technique","90","2024-2025"
"261","104","Mathématiques Lycée 11","8","Aminata Sarr","Lycée","90","2024-2025"
"262","29","Éducation Physique Technique 3","4","Alioune Diouf","Technique","45","2024-2025"
"263","121","Sciences Physiques Technique 13","17","Ndeye Diallo","Technique","55","2024-2025"
"264","103","Mathématiques Technique 11","8","Aminata Sarr","Technique","55","2024-2025"
"265","113","Arts Lycée 12","5","Babacar Cisse","Lycée","45","2024-2025"
"266","181","Arabe Collège 19","1","Amadou Mbaye","Collège","55","2024-2025"
"267","64","Mathématiques Lycée 7","8","Aminata Sarr","Lycée","55","2024-2025"
"268","234","Sciences Naturelles Technique 24","11","Binta Thiam","Technique","45","2024-2025"
"269","118","Mathématiques Collège 12","8","Aminata Sarr","Collège","45","2024-2025"
"270","61","Informatique Technique 7","2","Yacine Diouf","Technique","90","2024-2025"
"271","184","Arabe Technique 19","1","Amadou Mbaye","Technique","45","2024-2025"
"272","174","Français Primaire 18","3","Modou Mbaye","Primaire","90","2024-2025"
"273","40","Arabe Technique 5","1","Amadou Mbaye","Technique","45","2024-2025"
"274","181","Arabe Collège 19","1","Amadou Mbaye","Collège","45","2024-2025"
"275","205","Français Collège 21","3","Modou Mbaye","Collège","55","2024-2025"
"276","217","Mathématiques Technique 22","8","Aminata Sarr","Technique","55","2024-2025"
"277","10","Arts Collège 2","5","Babacar Cisse","Collège","45","2024-2025"
"278","166","Sciences Naturelles Primaire 17","11","Binta Thiam","Primaire","90","2024-2025"
"279","9","Français Collège 1","3","Modou Mbaye","Collège","55","2024-2025"
"280","143","Arabe Lycée 15","1","Amadou Mbaye","Lycée","90","2024-2025"
"281","153","Sciences Naturelles Lycée 16","11","Binta Thiam","Lycée","90","2024-2025"
"282","4","Anglais Technique 1","10","Modou Kane","Technique","90","2024-2025"
"283","130","Anglais Technique 14","10","Modou Kane","Technique","55","2024-2025"
"284","54","Sciences Physiques Lycée 6","17","Ndeye Diallo","Lycée","55","2024-2025"
"285","35","Arabe Lycée 4","1","Amadou Mbaye","Lycée","90","2024-2025"
"286","19","Sciences Naturelles Collège 2","11","Binta Thiam","Collège","45","2024-2025"
"287","139","Français Technique 14","3","Modou Mbaye","Technique","45","2024-2025"
"288","151","Mathématiques Collège 16","8","Aminata Sarr","Collège","90","2024-2025"
"289","35","Arabe Lycée 4","1","Amadou Mbaye","Lycée","45","2024-2025"
"290","118","Mathématiques Collège 12","8","Aminata Sarr","Collège","90","2024-2025"
"291","194","Arabe Lycée 20","1","Amadou Mbaye","Lycée","55","2024-2025"
"292","245","Sciences Physiques Technique 25","17","Ndeye Diallo","Technique","55","2024-2025"
"293","52","Sciences Naturelles Primaire 6","11","Binta Thiam","Primaire","55","2024-2025"
"294","68","Mathématiques Collège 7","8","Aminata Sarr","Collège","55","2024-2025"
"295","215","Informatique Lycée 22","2","Yacine Diouf","Lycée","90","2024-2025"
"296","1","Sciences Naturelles Lycée 1","11","Binta Thiam","Lycée","55","2024-2025"
"297","177","Anglais Primaire 18","10","Modou Kane","Primaire","55","2024-2025"
"298","137","Sciences Physiques Primaire 14","17","Ndeye Diallo","Primaire","45","2024-2025"
"299","235","Arts Lycée 24","5","Babacar Cisse","Lycée","45","2024-2025"
"300","178","Anglais Lycée 18","10","Modou Kane","Lycée","90","2024-2025"
"301","76","Mathématiques Technique 8","8","Aminata Sarr","Technique","45","2024-2025"
"302","56","Informatique Technique 6","2","Yacine Diouf","Technique","55","2024-2025"
"303","178","Anglais Lycée 18","10","Modou Kane","Lycée","45","2024-2025"
"304","221","Sciences Physiques Primaire 23","17","Ndeye Diallo","Primaire","90","2024-2025"
"305","191","Histoire-Géographie Lycée 20","12","Seynabou Ba","Lycée","55","2024-2025"
"306","58","Sciences Physiques Collège 6","17","Ndeye Diallo","Collège","55","2024-2025"
"307","17","Informatique Technique 2","2","Yacine Diouf","Technique","45","2024-2025"
"308","148","Arts Lycée 15","5","Babacar Cisse","Lycée","45","2024-2025"
"309","222","Mathématiques Lycée 23","8","Aminata Sarr","Lycée","45","2024-2025"
"310","239","Mathématiques Lycée 24","8","Aminata Sarr","Lycée","90","2024-2025"
"311","224","Sciences Physiques Lycée 23","17","Ndeye Diallo","Lycée","45","2024-2025"
"312","26","Arts Technique 3","5","Babacar Cisse","Technique","55","2024-2025"
"313","206","Histoire-Géographie Primaire 21","12","Seynabou Ba","Primaire","55","2024-2025"
"314","167","Sciences Physiques Technique 17","17","Ndeye Diallo","Technique","55","2024-2025"
"315","194","Arabe Lycée 20","1","Amadou Mbaye","Lycée","45","2024-2025"
"316","163","Arts Lycée 17","5","Babacar Cisse","Lycée","45","2024-2025"
"317","36","Sciences Physiques Technique 4","17","Ndeye Diallo","Technique","55","2024-2025"
"318","92","Sciences Physiques Collège 10","17","Ndeye Diallo","Collège","55","2024-2025"
"319","109","Sciences Naturelles Technique 11","11","Binta Thiam","Technique","45","2024-2025"
"320","192","Sciences Naturelles Primaire 20","11","Binta Thiam","Primaire","45","2024-2025"
"321","9","Français Collège 1","3","Modou Mbaye","Collège","45","2024-2025"
"322","79","Arabe Lycée 8","1","Amadou Mbaye","Lycée","90","2024-2025"
"323","131","Sciences Naturelles Primaire 14","11","Binta Thiam","Primaire","55","2024-2025"
"324","172","Mathématiques Collège 18","8","Aminata Sarr","Collège","45","2024-2025"
"325","242","Éducation Physique Primaire 25","4","Alioune Diouf","Primaire","55","2024-2025"
"326","197","Arts Technique 20","5","Babacar Cisse","Technique","55","2024-2025"
"327","106","Français Collège 11","3","Modou Mbaye","Collège","45","2024-2025"
"328","204","Histoire-Géographie Lycée 21","12","Seynabou Ba","Lycée","90","2024-2025"
"329","55","Mathématiques Primaire 6","8","Aminata Sarr","Primaire","55","2024-2025"
"330","231","Anglais Collège 24","10","Modou Kane","Collège","45","2024-2025"
"331","209","Arts Primaire 21","5","Babacar Cisse","Primaire","90","2024-2025"
"332","102","Anglais Technique 11","10","Modou Kane","Technique","45","2024-2025"
"333","161","Arts Primaire 17","5","Babacar Cisse","Primaire","90","2024-2025"
"334","202","Sciences Physiques Technique 21","17","Ndeye Diallo","Technique","55","2024-2025"
