id,nom,prenom,nom_complet,date_naissance,sexe,redouble,adresse,etablissement_id,etablissement_nom
"43","Wade","Babacar","Babacar Wade","2015-01-23","M","Non","91 Rue des Almadies, Fatick","61","Lycée Léopold Sédar Senghor"
"44","Diouf","Samba","Samba Diouf","2017-06-13","M","Non","4 Boulevard Corniche, Kédougou","68","Institut El Hadji Omar Tall"
"45","Sarr","Ousmane","Ousmane Sarr","2007-09-08","M","Non","62 Rue Corniche, Thiès","58","Lycée El Hadji Omar Tall"
"46","Ly","Khady","Khady Ly","2004-09-13","F","Oui","1 Boulevard Corniche, Saint-Louis","10","École Léopold Sédar Senghor"
"47","Gueye","Modou","Modou Gueye","2017-10-02","M","Oui","57 Boulevard de la République, Ziguinchor","80","Lycée Blaise Diagne"
"48","Fall","Yacine","Yacine Fall","2013-12-11","F","Non","51 Avenue de la République, Ziguinchor","70","Collège Lat Dior"
"49","Wade","Moussa","Moussa Wade","2013-11-04","M","Non","154 Rue Blaise Diagne, Saint-Louis","27","Collège Blaise Diagne"
"50","Faye","Baba","Baba Faye","2011-02-09","M","Non","55 Rue de la République, Louga","50","Collège Mariama Ba"
"51","Gueye","Mamadou","Mamadou Gueye","2005-08-10","M","Non","91 Avenue des Almadies, Thiès","46","Collège El Hadji Omar Tall"
"52","Seck","Mariam","Mariam Seck","2012-04-03","F","Non","158 Rue Blaise Diagne, Fatick","62","École Maba Diakhou Ba"
"53","Gueye","Pape","Pape Gueye","2012-06-02","M","Non","12 Avenue de l'Indépendance, Kaolack","11","Lycée El Hadji Omar Tall"
"54","Diop","Seynabou","Seynabou Diop","2005-03-10","F","Non","139 Rue des Almadies, Kédougou","74","Lycée Blaise Diagne"
"55","Sarr","Seynabou","Seynabou Sarr","2011-04-13","F","Non","12 Boulevard Corniche, Diourbel","17","École Léopold Sédar Senghor"
"56","Sarr","Amadou","Amadou Sarr","2014-05-15","M","Non","123 Avenue de la République, Kolda","9","École Maba Diakhou Ba"
"57","Tall","Pape","Pape Tall","2017-02-04","M","Non","76 Avenue des Almadies, Tambacounda","39","Lycée Blaise Diagne"
"58","Ndiaye","Demba","Demba Ndiaye","2017-12-22","M","Oui","121 Avenue Corniche, Diourbel","17","École Léopold Sédar Senghor"
"59","Diagne","Cheikh","Cheikh Diagne","2009-05-10","M","Non","150 Boulevard de l'Indépendance, Fatick","62","École Maba Diakhou Ba"
"60","Cisse","Amadou","Amadou Cisse","2017-08-18","M","Non","26 Boulevard Corniche, Diourbel","17","École Léopold Sédar Senghor"
"61","Thiam","Aminata","Aminata Thiam","2010-10-27","F","Non","47 Boulevard des Almadies, Saint-Louis","83","Lycée Cheikh Anta Diop"
"62","Ly","Demba","Demba Ly","2007-06-08","M","Non","165 Avenue de l'Indépendance, Saint-Louis","76","Lycée Blaise Diagne"
"63","Thiam","Binta","Binta Thiam","2007-01-04","F","Non","49 Rue Blaise Diagne, Kaffrine","100","Lycée Mariama Ba"
"64","Wade","Ousmane","Ousmane Wade","2003-08-06","M","Non","7 Rue Léopold Sédar Senghor, Ziguinchor","84","Collège Maba Diakhou Ba"
"65","Diouf","Awa","Awa Diouf","2017-05-12","F","Non","12 Boulevard Blaise Diagne, Tambacounda","14","École Blaise Diagne"
"66","Fall","Khady","Khady Fall","2006-05-25","F","Non","33 Rue de l'Indépendance, Kaolack","78","École Blaise Diagne"
"67","Faye","Ibrahima","Ibrahima Faye","2015-07-25","M","Non","46 Rue Corniche, Fatick","30","Lycée El Hadji Omar Tall"
"68","Mbaye","Dieynaba","Dieynaba Mbaye","2004-02-10","F","Oui","117 Avenue Blaise Diagne, Fatick","22","École El Hadji Omar Tall"
"69","Gueye","Maimouna","Maimouna Gueye","2011-12-06","F","Non","52 Avenue Léopold Sédar Senghor, Kolda","25","Collège Blaise Diagne"
"70","Ndiaye","Khady","Khady Ndiaye","2006-04-14","F","Non","17 Avenue Blaise Diagne, Kaffrine","34","Collège Léopold Sédar Senghor"
"71","Ly","Awa","Awa Ly","2016-07-12","F","Non","24 Avenue de l'Indépendance, Diourbel","89","Lycée Blaise Diagne"
"72","Ly","Babacar","Babacar Ly","2009-02-24","M","Oui","57 Avenue Blaise Diagne, Tambacounda","37","Lycée Maba Diakhou Ba"
"73","Diop","Maimouna","Maimouna Diop","2005-06-17","F","Non","54 Avenue Corniche, Thiès","23","École Cheikh Anta Diop"
"74","Thiam","Binta","Binta Thiam","2008-11-11","F","Non","150 Avenue Blaise Diagne, Diourbel","89","Lycée Blaise Diagne"
"75","Cisse","Ndeye","Ndeye Cisse","2004-01-08","F","Non","25 Avenue de la République, Matam","3","Institut Lat Dior"
"76","Thiam","Baba","Baba Thiam","2010-11-02","M","Non","110 Boulevard Léopold Sédar Senghor, Thiès","79","Collège Lat Dior"
"77","Gueye","Mamadou","Mamadou Gueye","2003-07-10","M","Non","140 Rue des Almadies, Kaolack","45","Collège Cheikh Anta Diop"
"78","Sarr","Samba","Samba Sarr","2004-10-04","M","Oui","9 Boulevard de l'Indépendance, Kaolack","71","Lycée Léopold Sédar Senghor"
"79","Gueye","Khady","Khady Gueye","2014-05-17","F","Non","57 Avenue des Almadies, Saint-Louis","10","École Léopold Sédar Senghor"
"80","Gueye","Demba","Demba Gueye","2011-04-02","M","Non","180 Rue Blaise Diagne, Kédougou","52","École Cheikh Anta Diop"
"81","Diallo","Ousmane","Ousmane Diallo","2005-05-07","M","Non","50 Rue Corniche, Tambacounda","14","École Blaise Diagne"
"82","Diagne","Assane","Assane Diagne","2008-10-01","M","Non","19 Boulevard de l'Indépendance, Kédougou","57","École Maba Diakhou Ba"
"83","Fall","Seynabou","Seynabou Fall","2016-04-15","F","Non","100 Rue des Almadies, Kaolack","41","Collège Maba Diakhou Ba"
"84","Tall","Demba","Demba Tall","2010-08-28","M","Non","27 Boulevard de l'Indépendance, Kédougou","31","Institut Mariama Ba"
"85","Gueye","Ousmane","Ousmane Gueye","2014-09-18","M","Oui","85 Boulevard Blaise Diagne, Thiès","48","Lycée Cheikh Anta Diop"
"86","Diop","Fatou","Fatou Diop","2003-06-15","F","Non","177 Rue Blaise Diagne, Louga","6","Lycée Cheikh Anta Diop"
"87","Sarr","Samba","Samba Sarr","2007-06-20","M","Non","145 Avenue des Almadies, Ziguinchor","65","Institut Maba Diakhou Ba"
"88","Ndour","Seynabou","Seynabou Ndour","2015-04-22","F","Oui","153 Avenue Corniche, Kaffrine","2","Lycée Cheikh Anta Diop"
"89","Sarr","Aminata","Aminata Sarr","2010-06-13","F","Oui","42 Avenue de la République, Kédougou","68","Institut El Hadji Omar Tall"
"90","Thiam","Babacar","Babacar Thiam","2012-01-12","M","Non","21 Boulevard de la République, Diourbel","8","École El Hadji Omar Tall"
"91","Diagne","Samba","Samba Diagne","2015-09-11","M","Non","95 Avenue Blaise Diagne, Kédougou","53","École Cheikh Anta Diop"
"92","Diallo","Maimouna","Maimouna Diallo","2016-02-23","F","Non","22 Avenue de l'Indépendance, Thiès","35","École Léopold Sédar Senghor"
"93","Diouf","Demba","Demba Diouf","2010-02-24","M","Non","126 Rue Léopold Sédar Senghor, Kaolack","86","Institut Cheikh Anta Diop"
"94","Mbaye","Maimouna","Maimouna Mbaye","2014-01-02","F","Non","103 Boulevard des Almadies, Diourbel","55","Institut Aline Sitoe Diatta"
"95","Ndour","Yacine","Yacine Ndour","2010-05-27","F","Non","8 Rue de la République, Kédougou","4","École Aline Sitoe Diatta"
"96","Tall","Ibrahima","Ibrahima Tall","2013-10-24","M","Non","180 Rue Corniche, Kaolack","75","École El Hadji Omar Tall"
"97","Mbaye","Awa","Awa Mbaye","2011-10-10","F","Non","170 Rue des Almadies, Kaolack","11","Lycée El Hadji Omar Tall"
"98","Sow","Mamadou","Mamadou Sow","2013-06-06","M","Non","156 Rue Blaise Diagne, Kédougou","40","École Mariama Ba"
"99","Seck","Khady","Khady Seck","2004-09-01","F","Non","96 Boulevard Léopold Sédar Senghor, Saint-Louis","76","Lycée Blaise Diagne"
"100","Diallo","Seynabou","Seynabou Diallo","2006-03-04","F","Non","118 Avenue Léopold Sédar Senghor, Louga","92","Institut Lat Dior"
"101","Diallo","Fatou","Fatou Diallo","2003-08-18","F","Non","102 Boulevard Léopold Sédar Senghor, Sédhiou","33","Collège Maba Diakhou Ba"
"102","Gueye","Mamadou","Mamadou Gueye","2017-01-03","M","Non","19 Avenue Léopold Sédar Senghor, Thiès","23","École Cheikh Anta Diop"
"103","Faye","Seynabou","Seynabou Faye","2003-08-20","F","Non","198 Boulevard de la République, Kaolack","7","Institut Mariama Ba"
"104","Cisse","Amadou","Amadou Cisse","2015-11-26","M","Non","124 Boulevard Léopold Sédar Senghor, Fatick","51","Institut Mariama Ba"
"105","Diouf","Assane","Assane Diouf","2017-02-20","M","Non","10 Avenue de l'Indépendance, Kédougou","52","École Cheikh Anta Diop"
"106","Kane","Fatou","Fatou Kane","2012-07-17","F","Non","74 Avenue de l'Indépendance, Kaolack","7","Institut Mariama Ba"
"107","Ndiaye","Alioune","Alioune Ndiaye","2004-10-03","M","Non","92 Rue Léopold Sédar Senghor, Fatick","51","Institut Mariama Ba"
"108","Mbaye","Samba","Samba Mbaye","2016-10-17","M","Non","157 Rue Léopold Sédar Senghor, Thiès","54","Lycée Léopold Sédar Senghor"
"109","Ly","Amadou","Amadou Ly","2011-10-12","M","Non","118 Boulevard Léopold Sédar Senghor, Saint-Louis","76","Lycée Blaise Diagne"
"110","Seck","Binta","Binta Seck","2008-04-19","F","Oui","175 Boulevard Blaise Diagne, Diourbel","38","Institut Cheikh Anta Diop"
"111","Diouf","Fatou","Fatou Diouf","2013-06-15","F","Non","40 Boulevard Blaise Diagne, Thiès","23","École Cheikh Anta Diop"
"112","Ly","Baba","Baba Ly","2011-09-11","M","Non","152 Avenue de l'Indépendance, Saint-Louis","66","Collège Mariama Ba"
"113","Mbaye","Seynabou","Seynabou Mbaye","2015-08-27","F","Non","5 Avenue de la République, Kolda","9","École Maba Diakhou Ba"
"114","Ndour","Rama","Rama Ndour","2014-02-18","F","Non","147 Avenue Léopold Sédar Senghor, Fatick","61","Lycée Léopold Sédar Senghor"
"115","Ba","Moussa","Moussa Ba","2015-08-22","M","Non","51 Avenue des Almadies, Kaffrine","60","École Aline Sitoe Diatta"
"116","Ly","Babacar","Babacar Ly","2008-02-24","M","Non","173 Avenue de l'Indépendance, Thiès","58","Lycée El Hadji Omar Tall"
"117","Diagne","Astou","Astou Diagne","2003-09-15","F","Non","90 Boulevard des Almadies, Saint-Louis","83","Lycée Cheikh Anta Diop"
"118","Ly","Demba","Demba Ly","2015-12-13","M","Non","65 Avenue de l'Indépendance, Saint-Louis","83","Lycée Cheikh Anta Diop"
"119","Wade","Dieynaba","Dieynaba Wade","2015-10-20","F","Non","8 Boulevard Léopold Sédar Senghor, Dakar","82","Lycée Lat Dior"
"120","Thiam","Seynabou","Seynabou Thiam","2006-02-05","F","Non","40 Avenue Corniche, Sédhiou","1","Collège Cheikh Anta Diop"
"121","Ndour","Cheikh","Cheikh Ndour","2009-08-03","M","Non","114 Avenue des Almadies, Dakar","15","Institut Maba Diakhou Ba"
"122","Tall","Assane","Assane Tall","2014-11-05","M","Oui","61 Rue Blaise Diagne, Kaolack","41","Collège Maba Diakhou Ba"
"123","Sarr","Coumba","Coumba Sarr","2006-06-15","F","Non","6 Avenue de la République, Saint-Louis","66","Collège Mariama Ba"
"124","Diouf","Ndeye","Ndeye Diouf","2005-04-22","F","Oui","130 Boulevard de l'Indépendance, Ziguinchor","13","Lycée Mariama Ba"
"125","Gueye","Seynabou","Seynabou Gueye","2004-03-01","F","Non","27 Boulevard Léopold Sédar Senghor, Ziguinchor","13","Lycée Mariama Ba"
"126","Mbaye","Seynabou","Seynabou Mbaye","2009-12-06","F","Non","103 Rue de la République, Fatick","49","Institut Maba Diakhou Ba"
"127","Diallo","Rokhaya","Rokhaya Diallo","2016-04-21","F","Non","59 Rue des Almadies, Kaolack","43","Lycée El Hadji Omar Tall"
"128","Ndour","Demba","Demba Ndour","2005-10-02","M","Non","92 Boulevard des Almadies, Sédhiou","19","École Blaise Diagne"
"129","Ndiaye","Pape","Pape Ndiaye","2008-06-10","M","Non","19 Boulevard Léopold Sédar Senghor, Saint-Louis","66","Collège Mariama Ba"
"130","Kane","Dieynaba","Dieynaba Kane","2009-10-27","F","Non","150 Avenue de la République, Matam","3","Institut Lat Dior"
"131","Faye","Dieynaba","Dieynaba Faye","2012-03-28","F","Non","160 Rue de l'Indépendance, Matam","3","Institut Lat Dior"
"132","Diop","Mariam","Mariam Diop","2008-12-12","F","Non","111 Rue de l'Indépendance, Louga","6","Lycée Cheikh Anta Diop"
"133","Mbaye","Maimouna","Maimouna Mbaye","2010-01-02","F","Non","145 Avenue Léopold Sédar Senghor, Kédougou","93","Institut Blaise Diagne"
"134","Diagne","Ousmane","Ousmane Diagne","2016-11-11","M","Non","26 Boulevard de la République, Saint-Louis","66","Collège Mariama Ba"
"135","Thiam","Abdou","Abdou Thiam","2017-04-05","M","Non","31 Boulevard de l'Indépendance, Kaffrine","2","Lycée Cheikh Anta Diop"
"136","Diallo","Fatou","Fatou Diallo","2003-08-19","F","Non","157 Boulevard de l'Indépendance, Kaffrine","67","Collège Blaise Diagne"
"137","Diouf","Awa","Awa Diouf","2007-01-28","F","Non","169 Rue Blaise Diagne, Kaffrine","2","Lycée Cheikh Anta Diop"
"138","Diop","Aminata","Aminata Diop","2012-01-25","F","Oui","82 Avenue de la République, Kaffrine","100","Lycée Mariama Ba"
"139","Thiam","Cheikh","Cheikh Thiam","2010-04-16","M","Non","64 Rue de la République, Ziguinchor","5","Collège Blaise Diagne"
"140","Faye","Moussa","Moussa Faye","2013-04-28","M","Non","63 Avenue de l'Indépendance, Tambacounda","37","Lycée Maba Diakhou Ba"
"141","Tall","Coumba","Coumba Tall","2016-01-01","F","Non","193 Boulevard Corniche, Kaolack","75","École El Hadji Omar Tall"
"142","Faye","Moussa","Moussa Faye","2014-09-08","M","Non","26 Avenue de l'Indépendance, Thiès","58","Lycée El Hadji Omar Tall"
"143","Gueye","Binta","Binta Gueye","2017-03-23","F","Oui","80 Avenue de l'Indépendance, Kaffrine","87","École Blaise Diagne"
"144","Ly","Ousmane","Ousmane Ly","2007-06-08","M","Oui","143 Avenue Corniche, Kédougou","93","Institut Blaise Diagne"
"145","Ndour","Dieynaba","Dieynaba Ndour","2017-09-19","F","Non","77 Boulevard Léopold Sédar Senghor, Kaffrine","60","École Aline Sitoe Diatta"
"146","Wade","Mamadou","Mamadou Wade","2015-12-22","M","Non","182 Rue de l'Indépendance, Tambacounda","14","École Blaise Diagne"
"147","Ba","Babacar","Babacar Ba","2006-06-17","M","Non","182 Rue des Almadies, Kolda","9","École Maba Diakhou Ba"
"148","Thiam","Demba","Demba Thiam","2004-11-25","M","Non","83 Avenue de l'Indépendance, Diourbel","99","Institut Mariama Ba"
"149","Wade","Demba","Demba Wade","2003-08-12","M","Non","105 Boulevard des Almadies, Kédougou","93","Institut Blaise Diagne"
"150","Seck","Demba","Demba Seck","2012-05-19","M","Non","33 Rue de l'Indépendance, Kédougou","18","Institut Aline Sitoe Diatta"
"151","Diouf","Ousmane","Ousmane Diouf","2012-02-23","M","Non","41 Avenue de la République, Dakar","15","Institut Maba Diakhou Ba"
"152","Ba","Ibrahima","Ibrahima Ba","2017-02-28","M","Non","114 Rue Blaise Diagne, Kédougou","40","École Mariama Ba"
"153","Diagne","Fatou","Fatou Diagne","2009-11-04","F","Non","80 Rue des Almadies, Kédougou","68","Institut El Hadji Omar Tall"
"154","Mbaye","Dieynaba","Dieynaba Mbaye","2014-09-15","F","Non","93 Avenue des Almadies, Sédhiou","19","École Blaise Diagne"
"155","Tall","Rama","Rama Tall","2005-04-07","F","Non","152 Boulevard de la République, Kaolack","75","École El Hadji Omar Tall"
"156","Tall","Assane","Assane Tall","2005-10-20","M","Non","170 Boulevard Corniche, Kédougou","52","École Cheikh Anta Diop"
"157","Diouf","Rama","Rama Diouf","2003-07-19","F","Non","110 Boulevard Léopold Sédar Senghor, Kaolack","11","Lycée El Hadji Omar Tall"
"158","Ly","Ibrahima","Ibrahima Ly","2008-12-24","M","Non","139 Boulevard Blaise Diagne, Fatick","30","Lycée El Hadji Omar Tall"
"159","Gueye","Demba","Demba Gueye","2016-01-08","M","Non","100 Avenue de l'Indépendance, Kédougou","31","Institut Mariama Ba"
"160","Ly","Cheikh","Cheikh Ly","2004-04-09","M","Oui","17 Rue Léopold Sédar Senghor, Kolda","29","École Maba Diakhou Ba"
"161","Faye","Moussa","Moussa Faye","2011-10-05","M","Oui","51 Avenue des Almadies, Fatick","90","Collège Lat Dior"
"162","Tall","Ousmane","Ousmane Tall","2013-04-08","M","Non","93 Boulevard Corniche, Fatick","61","Lycée Léopold Sédar Senghor"
"163","Diouf","Ndeye","Ndeye Diouf","2006-11-16","F","Non","139 Avenue des Almadies, Kaffrine","100","Lycée Mariama Ba"
"164","Faye","Alioune","Alioune Faye","2006-10-21","M","Non","170 Rue Léopold Sédar Senghor, Kédougou","68","Institut El Hadji Omar Tall"
"165","Faye","Dieynaba","Dieynaba Faye","2010-09-22","F","Non","52 Rue Blaise Diagne, Saint-Louis","63","Lycée Aline Sitoe Diatta"
"166","Kane","Binta","Binta Kane","2012-06-11","F","Non","22 Boulevard Corniche, Diourbel","99","Institut Mariama Ba"
"167","Diagne","Abdou","Abdou Diagne","2016-07-25","M","Non","31 Avenue Corniche, Tambacounda","39","Lycée Blaise Diagne"
"168","Ba","Assane","Assane Ba","2015-04-13","M","Non","194 Rue de la République, Thiès","35","École Léopold Sédar Senghor"
"169","Thiam","Seynabou","Seynabou Thiam","2003-12-15","F","Non","51 Boulevard de l'Indépendance, Kolda","25","Collège Blaise Diagne"
"170","Fall","Moussa","Moussa Fall","2016-12-24","M","Non","65 Rue de l'Indépendance, Thiès","23","École Cheikh Anta Diop"
"171","Cisse","Maimouna","Maimouna Cisse","2008-07-12","F","Non","197 Boulevard de la République, Kaolack","86","Institut Cheikh Anta Diop"
"172","Diop","Binta","Binta Diop","2008-09-24","F","Non","23 Rue des Almadies, Matam","3","Institut Lat Dior"
"173","Diallo","Astou","Astou Diallo","2010-08-14","F","Non","40 Avenue Léopold Sédar Senghor, Saint-Louis","10","École Léopold Sédar Senghor"
"174","Kane","Demba","Demba Kane","2015-06-18","M","Non","88 Rue Léopold Sédar Senghor, Kolda","25","Collège Blaise Diagne"
"175","Diallo","Amadou","Amadou Diallo","2009-09-27","M","Oui","19 Rue des Almadies, Kédougou","40","École Mariama Ba"
"176","Diop","Alioune","Alioune Diop","2011-07-20","M","Non","28 Avenue Corniche, Sédhiou","33","Collège Maba Diakhou Ba"
"177","Diagne","Khady","Khady Diagne","2008-10-20","F","Oui","51 Avenue Léopold Sédar Senghor, Kédougou","53","École Cheikh Anta Diop"
"178","Diouf","Cheikh","Cheikh Diouf","2013-11-02","M","Non","122 Avenue des Almadies, Tambacounda","14","École Blaise Diagne"
"179","Gueye","Awa","Awa Gueye","2017-11-05","F","Non","109 Boulevard Léopold Sédar Senghor, Matam","85","Lycée Lat Dior"
"180","Gueye","Awa","Awa Gueye","2014-02-10","F","Non","105 Boulevard de la République, Diourbel","17","École Léopold Sédar Senghor"
"181","Ndiaye","Cheikh","Cheikh Ndiaye","2015-09-14","M","Non","121 Rue de la République, Kédougou","93","Institut Blaise Diagne"
"182","Gueye","Awa","Awa Gueye","2013-10-02","F","Non","32 Rue Léopold Sédar Senghor, Thiès","35","École Léopold Sédar Senghor"
"183","Diallo","Seynabou","Seynabou Diallo","2010-02-10","F","Non","51 Boulevard Corniche, Matam","3","Institut Lat Dior"
"184","Thiam","Khady","Khady Thiam","2007-03-16","F","Oui","71 Boulevard Corniche, Saint-Louis","83","Lycée Cheikh Anta Diop"
"185","Diouf","Mariam","Mariam Diouf","2011-05-02","F","Non","166 Rue Blaise Diagne, Kaolack","78","École Blaise Diagne"
"186","Ba","Aminata","Aminata Ba","2015-07-09","F","Oui","109 Boulevard de l'Indépendance, Saint-Louis","27","Collège Blaise Diagne"
"187","Ba","Dieynaba","Dieynaba Ba","2012-12-23","F","Non","189 Boulevard de la République, Saint-Louis","66","Collège Mariama Ba"
"188","Diouf","Binta","Binta Diouf","2004-08-22","F","Oui","189 Rue de la République, Saint-Louis","66","Collège Mariama Ba"
"189","Ndiaye","Binta","Binta Ndiaye","2013-08-26","F","Non","115 Boulevard Blaise Diagne, Thiès","64","École Léopold Sédar Senghor"
"190","Diallo","Dieynaba","Dieynaba Diallo","2008-06-28","F","Non","173 Rue Corniche, Kédougou","57","École Maba Diakhou Ba"
"191","Cisse","Aminata","Aminata Cisse","2013-12-27","F","Non","132 Avenue Blaise Diagne, Kaffrine","60","École Aline Sitoe Diatta"
"192","Seck","Astou","Astou Seck","2016-09-26","F","Non","124 Boulevard de l'Indépendance, Kédougou","74","Lycée Blaise Diagne"
"193","Sow","Ousmane","Ousmane Sow","2003-05-22","M","Non","50 Boulevard Blaise Diagne, Kolda","77","École Blaise Diagne"
"194","Diop","Awa","Awa Diop","2012-10-03","F","Oui","144 Avenue Blaise Diagne, Saint-Louis","66","Collège Mariama Ba"
"195","Ndiaye","Seynabou","Seynabou Ndiaye","2009-02-13","F","Non","167 Rue de la République, Kaffrine","34","Collège Léopold Sédar Senghor"
"196","Fall","Ousmane","Ousmane Fall","2012-04-06","M","Non","200 Avenue de l'Indépendance, Kolda","9","École Maba Diakhou Ba"
"197","Fall","Rama","Rama Fall","2011-11-10","F","Oui","80 Boulevard Corniche, Fatick","61","Lycée Léopold Sédar Senghor"
"198","Sarr","Ndeye","Ndeye Sarr","2003-01-11","F","Non","28 Avenue de la République, Thiès","46","Collège El Hadji Omar Tall"
