id,nom,prenom,nom_complet,domaine,email,sexe,etablissement_id,etablissement_nom
"45","Ndiaye","Fatou","Fatou Ndiaye","Arts","fatou.ndiaye@lycéeelhadjiomartall.sn","F","58","Lycée El Hadji Omar Tall"
"46","Seck","Rokhaya","Rokhaya Seck","Arabe","rokhaya.seck@lycéealinesitoediatta.sn","F","73","Lycée Aline Sitoe Diatta"
"47","Ly","Ibrahima","Ibrahima Ly","Arabe","ibrahima.ly@écolemabadiakhouba.sn","M","29","École Maba Diakhou Ba"
"48","Sarr","Binta","Binta Sarr","Éducation Physique","binta.sarr@écoleblaisediagne.sn","F","78","École Blaise Diagne"
"49","Ndiaye","Ndeye","Ndeye Ndiaye","Histoire-Géographie","ndeye.ndiaye@collègeblaisediagne.sn","F","67","Collège Blaise Diagne"
"50","Mbaye","Mariam","Mariam Mbaye","Arts","mariam.mbaye@écolemabadiakhouba.sn","F","62","École Maba Diakhou Ba"
"51","Ba","Pape","Pape Ba","Mathématiques","pape.ba@lycéeblaisediagne.sn","M","26","Lycée Blaise Diagne"
"52","Ly","Astou","Astou Ly","Anglais","astou.ly@écoleelhadjiomartall.sn","F","75","École El Hadji Omar Tall"
"53","Mbaye","Fatou","Fatou Mbaye","Arts","fatou.mbaye@écolemariamaba.sn","F","94","École Mariama Ba"
"54","Mbaye","Dieynaba","Dieynaba Mbaye","Arts","dieynaba.mbaye@lycéeléopoldsédarsenghor.sn","F","54","Lycée Léopold Sédar Senghor"
"55","Diouf","Mariam","Mariam Diouf","Français","mariam.diouf@écolecheikhantadiop.sn","F","36","École Cheikh Anta Diop"
"56","Sow","Amadou","Amadou Sow","Français","amadou.sow@lycéecheikhantadiop.sn","M","83","Lycée Cheikh Anta Diop"
"57","Diouf","Binta","Binta Diouf","Sciences Physiques","binta.diouf@lycéeblaisediagne.sn","F","26","Lycée Blaise Diagne"
"58","Faye","Alioune","Alioune Faye","Arts","alioune.faye@écolemabadiakhouba.sn","M","57","École Maba Diakhou Ba"
"59","Mbaye","Fatou","Fatou Mbaye","Anglais","fatou.mbaye@institutmabadiakhouba.sn","F","65","Institut Maba Diakhou Ba"
"60","Ba","Yacine","Yacine Ba","Sciences Physiques","yacine.ba@écoleblaisediagne.sn","F","14","École Blaise Diagne"
"61","Seck","Mamadou","Mamadou Seck","Sciences Naturelles","mamadou.seck@institutalinesitoediatta.sn","M","18","Institut Aline Sitoe Diatta"
"62","Diallo","Assane","Assane Diallo","Arabe","assane.diallo@lycéeblaisediagne.sn","M","89","Lycée Blaise Diagne"
"63","Thiam","Ibrahima","Ibrahima Thiam","Anglais","ibrahima.thiam@institutlatdior.sn","M","95","Institut Lat Dior"
"64","Diouf","Pape","Pape Diouf","Éducation Physique","pape.diouf@institutcheikhantadiop.sn","M","38","Institut Cheikh Anta Diop"
"65","Mbaye","Abdou","Abdou Mbaye","Sciences Physiques","abdou.mbaye@lycéeblaisediagne.sn","M","76","Lycée Blaise Diagne"
"66","Seck","Ousmane","Ousmane Seck","Anglais","ousmane.seck@lycéeelhadjiomartall.sn","M","58","Lycée El Hadji Omar Tall"
"67","Ba","Mamadou","Mamadou Ba","Français","mamadou.ba@lycéecheikhantadiop.sn","M","83","Lycée Cheikh Anta Diop"
"68","Diouf","Astou","Astou Diouf","Arabe","astou.diouf@lycéeblaisediagne.sn","F","39","Lycée Blaise Diagne"
"69","Cisse","Rama","Rama Cisse","Éducation Physique","rama.cisse@lycéealinesitoediatta.sn","F","21","Lycée Aline Sitoe Diatta"
"70","Ndiaye","Coumba","Coumba Ndiaye","Éducation Physique","coumba.ndiaye@institutcheikhantadiop.sn","F","86","Institut Cheikh Anta Diop"
"71","Sarr","Ousmane","Ousmane Sarr","Mathématiques","ousmane.sarr@lycéeelhadjiomartall.sn","M","43","Lycée El Hadji Omar Tall"
"72","Thiam","Ousmane","Ousmane Thiam","Arabe","ousmane.thiam@lycéealinesitoediatta.sn","M","28","Lycée Aline Sitoe Diatta"
"73","Gueye","Abdou","Abdou Gueye","Sciences Physiques","abdou.gueye@écolealinesitoediatta.sn","M","72","École Aline Sitoe Diatta"
"74","Gueye","Astou","Astou Gueye","Éducation Physique","astou.gueye@écolecheikhantadiop.sn","F","23","École Cheikh Anta Diop"
"75","Fall","Mamadou","Mamadou Fall","Arabe","mamadou.fall@lycéeblaisediagne.sn","M","26","Lycée Blaise Diagne"
"76","Faye","Moussa","Moussa Faye","Mathématiques","moussa.faye@collègeblaisediagne.sn","M","27","Collège Blaise Diagne"
"77","Kane","Alioune","Alioune Kane","Français","alioune.kane@institutblaisediagne.sn","M","93","Institut Blaise Diagne"
"78","Ba","Mariam","Mariam Ba","Sciences Naturelles","mariam.ba@lycéeelhadjiomartall.sn","F","43","Lycée El Hadji Omar Tall"
"79","Seck","Samba","Samba Seck","Français","samba.seck@lycéeelhadjiomartall.sn","M","30","Lycée El Hadji Omar Tall"
"80","Diop","Rama","Rama Diop","Arabe","rama.diop@collègeblaisediagne.sn","F","25","Collège Blaise Diagne"
"81","Tall","Ibrahima","Ibrahima Tall","Sciences Naturelles","ibrahima.tall@lycéecheikhantadiop.sn","M","2","Lycée Cheikh Anta Diop"
"82","Diop","Fatou","Fatou Diop","Français","fatou.diop@collègelatdior.sn","F","70","Collège Lat Dior"
"83","Thiam","Mariam","Mariam Thiam","Éducation Physique","mariam.thiam@lycéeblaisediagne.sn","F","74","Lycée Blaise Diagne"
"84","Ndour","Assane","Assane Ndour","Sciences Naturelles","assane.ndour@lycéealinesitoediatta.sn","M","32","Lycée Aline Sitoe Diatta"
"85","Thiam","Demba","Demba Thiam","Arts","demba.thiam@lycéecheikhantadiop.sn","M","24","Lycée Cheikh Anta Diop"
"86","Mbaye","Fatou","Fatou Mbaye","Informatique","fatou.mbaye@institutcheikhantadiop.sn","F","38","Institut Cheikh Anta Diop"
"87","Wade","Cheikh","Cheikh Wade","Anglais","cheikh.wade@écolealinesitoediatta.sn","M","72","École Aline Sitoe Diatta"
"88","Ly","Ndeye","Ndeye Ly","Sciences Physiques","ndeye.ly@lycéeelhadjiomartall.sn","F","30","Lycée El Hadji Omar Tall"
"89","Sow","Awa","Awa Sow","Arabe","awa.sow@collègeblaisediagne.sn","F","5","Collège Blaise Diagne"
"90","Tall","Amadou","Amadou Tall","Arabe","amadou.tall@institutalinesitoediatta.sn","M","55","Institut Aline Sitoe Diatta"
"91","Ba","Abdou","Abdou Ba","Arts","abdou.ba@lycéeelhadjiomartall.sn","M","43","Lycée El Hadji Omar Tall"
"92","Sarr","Demba","Demba Sarr","Éducation Physique","demba.sarr@institutmabadiakhouba.sn","M","65","Institut Maba Diakhou Ba"
"93","Ndiaye","Cheikh","Cheikh Ndiaye","Anglais","cheikh.ndiaye@collègeblaisediagne.sn","M","67","Collège Blaise Diagne"
"94","Sarr","Rama","Rama Sarr","Histoire-Géographie","rama.sarr@collègemabadiakhouba.sn","F","41","Collège Maba Diakhou Ba"
"95","Cisse","Baba","Baba Cisse","Anglais","baba.cisse@écolealinesitoediatta.sn","M","60","École Aline Sitoe Diatta"
"96","Fall","Modou","Modou Fall","Éducation Physique","modou.fall@lycéemabadiakhouba.sn","M","37","Lycée Maba Diakhou Ba"
"97","Mbaye","Amadou","Amadou Mbaye","Arts","amadou.mbaye@écoleblaisediagne.sn","M","77","École Blaise Diagne"
"98","Fall","Rokhaya","Rokhaya Fall","Arts","rokhaya.fall@lycéeléopoldsédarsenghor.sn","F","54","Lycée Léopold Sédar Senghor"
"99","Tall","Cheikh","Cheikh Tall","Arts","cheikh.tall@lycéemabadiakhouba.sn","M","37","Lycée Maba Diakhou Ba"
"100","Diop","Coumba","Coumba Diop","Histoire-Géographie","coumba.diop@lycéealinesitoediatta.sn","F","63","Lycée Aline Sitoe Diatta"
"101","Mbaye","Aminata","Aminata Mbaye","Anglais","aminata.mbaye@écolealinesitoediatta.sn","F","4","École Aline Sitoe Diatta"
"102","Cisse","Assane","Assane Cisse","Arabe","assane.cisse@institutblaisediagne.sn","M","93","Institut Blaise Diagne"
"103","Thiam","Seynabou","Seynabou Thiam","Sciences Naturelles","seynabou.thiam@institutcheikhantadiop.sn","F","86","Institut Cheikh Anta Diop"
"104","Fall","Samba","Samba Fall","Sciences Physiques","samba.fall@institutmariamaba.sn","M","7","Institut Mariama Ba"
"105","Diouf","Alioune","Alioune Diouf","Anglais","alioune.diouf@écolealinesitoediatta.sn","M","96","École Aline Sitoe Diatta"
"106","Diop","Alioune","Alioune Diop","Français","alioune.diop@collègemariamaba.sn","M","66","Collège Mariama Ba"
"107","Faye","Aminata","Aminata Faye","Français","aminata.faye@écolecheikhantadiop.sn","F","36","École Cheikh Anta Diop"
"108","Ndiaye","Seynabou","Seynabou Ndiaye","Anglais","seynabou.ndiaye@écoleléopoldsédarsenghor.sn","F","12","École Léopold Sédar Senghor"
"109","Diop","Dieynaba","Dieynaba Diop","Anglais","dieynaba.diop@institutmariamaba.sn","F","99","Institut Mariama Ba"
"110","Diouf","Aminata","Aminata Diouf","Sciences Naturelles","aminata.diouf@lycéecheikhantadiop.sn","F","2","Lycée Cheikh Anta Diop"
"111","Ly","Binta","Binta Ly","Arts","binta.ly@lycéeblaisediagne.sn","F","26","Lycée Blaise Diagne"
"112","Ba","Ndeye","Ndeye Ba","Arts","ndeye.ba@lycéealinesitoediatta.sn","F","73","Lycée Aline Sitoe Diatta"
"113","Ndour","Yacine","Yacine Ndour","Arts","yacine.ndour@institutlatdior.sn","F","92","Institut Lat Dior"
"114","Ba","Binta","Binta Ba","Éducation Physique","binta.ba@écoleléopoldsédarsenghor.sn","F","35","École Léopold Sédar Senghor"
"115","Diouf","Alioune","Alioune Diouf","Histoire-Géographie","alioune.diouf@collègeblaisediagne.sn","M","5","Collège Blaise Diagne"
"116","Ndour","Coumba","Coumba Ndour","Arts","coumba.ndour@écolemabadiakhouba.sn","F","62","École Maba Diakhou Ba"
"117","Diouf","Yacine","Yacine Diouf","Mathématiques","yacine.diouf@écoleelhadjiomartall.sn","F","8","École El Hadji Omar Tall"
"118","Ndiaye","Awa","Awa Ndiaye","Sciences Physiques","awa.ndiaye@écoleléopoldsédarsenghor.sn","F","10","École Léopold Sédar Senghor"
"119","Kane","Ousmane","Ousmane Kane","Informatique","ousmane.kane@écolecheikhantadiop.sn","M","36","École Cheikh Anta Diop"
"120","Diop","Coumba","Coumba Diop","Anglais","coumba.diop@écolealinesitoediatta.sn","F","4","École Aline Sitoe Diatta"
"121","Diop","Moussa","Moussa Diop","Mathématiques","moussa.diop@lycéelatdior.sn","M","85","Lycée Lat Dior"
"122","Tall","Ndeye","Ndeye Tall","Sciences Physiques","ndeye.tall@écolemabadiakhouba.sn","F","62","École Maba Diakhou Ba"
"123","Diallo","Rokhaya","Rokhaya Diallo","Histoire-Géographie","rokhaya.diallo@lycéeblaisediagne.sn","F","26","Lycée Blaise Diagne"
"124","Mbaye","Demba","Demba Mbaye","Informatique","demba.mbaye@écoleelhadjiomartall.sn","M","22","École El Hadji Omar Tall"
"125","Ndour","Amadou","Amadou Ndour","Informatique","amadou.ndour@écoleléopoldsédarsenghor.sn","M","10","École Léopold Sédar Senghor"
"126","Diop","Ibrahima","Ibrahima Diop","Sciences Physiques","ibrahima.diop@collègecheikhantadiop.sn","M","1","Collège Cheikh Anta Diop"
"127","Diallo","Mariam","Mariam Diallo","Sciences Naturelles","mariam.diallo@lycéeelhadjiomartall.sn","F","16","Lycée El Hadji Omar Tall"
"128","Seck","Aminata","Aminata Seck","Sciences Naturelles","aminata.seck@lycéeblaisediagne.sn","F","74","Lycée Blaise Diagne"
"129","Ndiaye","Abdou","Abdou Ndiaye","Sciences Naturelles","abdou.ndiaye@écolealinesitoediatta.sn","M","60","École Aline Sitoe Diatta"
"130","Kane","Yacine","Yacine Kane","Sciences Physiques","yacine.kane@écolecheikhantadiop.sn","F","52","École Cheikh Anta Diop"
"131","Sarr","Assane","Assane Sarr","Français","assane.sarr@institutlatdior.sn","M","3","Institut Lat Dior"
"132","Diouf","Aminata","Aminata Diouf","Sciences Physiques","aminata.diouf@institutmariamaba.sn","F","7","Institut Mariama Ba"
"133","Sarr","Maimouna","Maimouna Sarr","Français","maimouna.sarr@institutalinesitoediatta.sn","F","47","Institut Aline Sitoe Diatta"
"134","Wade","Ibrahima","Ibrahima Wade","Sciences Naturelles","ibrahima.wade@institutalinesitoediatta.sn","M","55","Institut Aline Sitoe Diatta"
"135","Faye","Modou","Modou Faye","Mathématiques","modou.faye@institutlatdior.sn","M","3","Institut Lat Dior"
"136","Seck","Cheikh","Cheikh Seck","Anglais","cheikh.seck@institutcheikhantadiop.sn","M","86","Institut Cheikh Anta Diop"
"137","Ndiaye","Astou","Astou Ndiaye","Informatique","astou.ndiaye@lycéealinesitoediatta.sn","F","28","Lycée Aline Sitoe Diatta"
"138","Seck","Rokhaya","Rokhaya Seck","Informatique","rokhaya.seck@institutelhadjiomartall.sn","F","68","Institut El Hadji Omar Tall"
"139","Thiam","Samba","Samba Thiam","Anglais","samba.thiam@lycéealinesitoediatta.sn","M","28","Lycée Aline Sitoe Diatta"
"140","Ba","Khady","Khady Ba","Éducation Physique","khady.ba@collègelatdior.sn","F","90","Collège Lat Dior"
"141","Ly","Baba","Baba Ly","Arts","baba.ly@collègeblaisediagne.sn","M","67","Collège Blaise Diagne"
"142","Diouf","Aminata","Aminata Diouf","Anglais","aminata.diouf@institutalinesitoediatta.sn","F","47","Institut Aline Sitoe Diatta"
"143","Ba","Baba","Baba Ba","Éducation Physique","baba.ba@écoleblaisediagne.sn","M","87","École Blaise Diagne"
"144","Ndour","Seynabou","Seynabou Ndour","Éducation Physique","seynabou.ndour@écoleléopoldsédarsenghor.sn","F","12","École Léopold Sédar Senghor"
"145","Diouf","Alioune","Alioune Diouf","Sciences Physiques","alioune.diouf@écoleléopoldsédarsenghor.sn","M","35","École Léopold Sédar Senghor"
"146","Ba","Rama","Rama Ba","Arabe","rama.ba@institutelhadjiomartall.sn","F","68","Institut El Hadji Omar Tall"
"147","Ba","Maimouna","Maimouna Ba","Informatique","maimouna.ba@lycéeelhadjiomartall.sn","F","43","Lycée El Hadji Omar Tall"
"148","Gueye","Moussa","Moussa Gueye","Histoire-Géographie","moussa.gueye@institutmabadiakhouba.sn","M","49","Institut Maba Diakhou Ba"
"149","Wade","Cheikh","Cheikh Wade","Anglais","cheikh.wade@lycéelatdior.sn","M","42","Lycée Lat Dior"
"150","Sarr","Rama","Rama Sarr","Sciences Physiques","rama.sarr@lycéeblaisediagne.sn","F","39","Lycée Blaise Diagne"
"151","Ndour","Assane","Assane Ndour","Histoire-Géographie","assane.ndour@lycéealinesitoediatta.sn","M","21","Lycée Aline Sitoe Diatta"
"152","Diop","Ousmane","Ousmane Diop","Éducation Physique","ousmane.diop@écolemariamaba.sn","M","40","École Mariama Ba"
"153","Diouf","Aminata","Aminata Diouf","Mathématiques","aminata.diouf@écoleelhadjiomartall.sn","F","75","École El Hadji Omar Tall"
"154","Diop","Mamadou","Mamadou Diop","Anglais","mamadou.diop@collègelatdior.sn","M","70","Collège Lat Dior"
"155","Kane","Khady","Khady Kane","Sciences Physiques","khady.kane@institutalinesitoediatta.sn","F","47","Institut Aline Sitoe Diatta"
"156","Mbaye","Binta","Binta Mbaye","Sciences Physiques","binta.mbaye@lycéeléopoldsédarsenghor.sn","F","54","Lycée Léopold Sédar Senghor"
"157","Ndiaye","Ndeye","Ndeye Ndiaye","Sciences Physiques","ndeye.ndiaye@collègeblaisediagne.sn","F","5","Collège Blaise Diagne"
"158","Ly","Ibrahima","Ibrahima Ly","Mathématiques","ibrahima.ly@écoleblaisediagne.sn","M","77","École Blaise Diagne"
"159","Diallo","Amadou","Amadou Diallo","Sciences Naturelles","amadou.diallo@collègeblaisediagne.sn","M","67","Collège Blaise Diagne"
"160","Cisse","Awa","Awa Cisse","Éducation Physique","awa.cisse@collègemabadiakhouba.sn","F","84","Collège Maba Diakhou Ba"
"161","Diallo","Seynabou","Seynabou Diallo","Arabe","seynabou.diallo@collègeelhadjiomartall.sn","F","46","Collège El Hadji Omar Tall"
"162","Cisse","Amadou","Amadou Cisse","Sciences Physiques","amadou.cisse@institutelhadjiomartall.sn","M","68","Institut El Hadji Omar Tall"
"163","Fall","Coumba","Coumba Fall","Sciences Physiques","coumba.fall@écolemabadiakhouba.sn","F","62","École Maba Diakhou Ba"
"164","Cisse","Yacine","Yacine Cisse","Informatique","yacine.cisse@institutmariamaba.sn","F","99","Institut Mariama Ba"
"165","Fall","Awa","Awa Fall","Histoire-Géographie","awa.fall@lycéelatdior.sn","F","91","Lycée Lat Dior"
"166","Diop","Dieynaba","Dieynaba Diop","Arts","dieynaba.diop@écolecheikhantadiop.sn","F","52","École Cheikh Anta Diop"
"167","Sarr","Amadou","Amadou Sarr","Sciences Physiques","amadou.sarr@institutléopoldsédarsenghor.sn","M","88","Institut Léopold Sédar Senghor"
"168","Gueye","Mamadou","Mamadou Gueye","Sciences Naturelles","mamadou.gueye@lycéelatdior.sn","M","82","Lycée Lat Dior"
"169","Ndour","Mamadou","Mamadou Ndour","Arts","mamadou.ndour@institutlatdior.sn","M","3","Institut Lat Dior"
"170","Thiam","Abdou","Abdou Thiam","Éducation Physique","abdou.thiam@institutmabadiakhouba.sn","M","15","Institut Maba Diakhou Ba"
"171","Mbaye","Samba","Samba Mbaye","Arts","samba.mbaye@écoleblaisediagne.sn","M","77","École Blaise Diagne"
"172","Diop","Samba","Samba Diop","Histoire-Géographie","samba.diop@écolemabadiakhouba.sn","M","9","École Maba Diakhou Ba"
"173","Fall","Ibrahima","Ibrahima Fall","Sciences Physiques","ibrahima.fall@collègeblaisediagne.sn","M","27","Collège Blaise Diagne"
"174","Faye","Awa","Awa Faye","Français","awa.faye@lycéeblaisediagne.sn","F","80","Lycée Blaise Diagne"
"175","Gueye","Abdou","Abdou Gueye","Français","abdou.gueye@collègeelhadjiomartall.sn","M","46","Collège El Hadji Omar Tall"
"176","Thiam","Coumba","Coumba Thiam","Informatique","coumba.thiam@lycéeléopoldsédarsenghor.sn","F","54","Lycée Léopold Sédar Senghor"
"177","Ly","Demba","Demba Ly","Anglais","demba.ly@écolealinesitoediatta.sn","M","60","École Aline Sitoe Diatta"
"178","Diop","Alioune","Alioune Diop","Anglais","alioune.diop@écoleléopoldsédarsenghor.sn","M","17","École Léopold Sédar Senghor"
"179","Sow","Khady","Khady Sow","Arts","khady.sow@institutléopoldsédarsenghor.sn","F","44","Institut Léopold Sédar Senghor"
"180","Wade","Abdou","Abdou Wade","Éducation Physique","abdou.wade@collègeblaisediagne.sn","M","25","Collège Blaise Diagne"
"181","Ly","Astou","Astou Ly","Sciences Physiques","astou.ly@institutmariamaba.sn","F","31","Institut Mariama Ba"
"182","Wade","Babacar","Babacar Wade","Anglais","babacar.wade@lycéecheikhantadiop.sn","M","48","Lycée Cheikh Anta Diop"
"183","Faye","Mamadou","Mamadou Faye","Histoire-Géographie","mamadou.faye@écolemariamaba.sn","M","94","École Mariama Ba"
"184","Diagne","Khady","Khady Diagne","Sciences Naturelles","khady.diagne@collègeléopoldsédarsenghor.sn","F","34","Collège Léopold Sédar Senghor"
"185","Faye","Ousmane","Ousmane Faye","Français","ousmane.faye@lycéealinesitoediatta.sn","M","32","Lycée Aline Sitoe Diatta"
"186","Sow","Samba","Samba Sow","Sciences Naturelles","samba.sow@collègemabadiakhouba.sn","M","84","Collège Maba Diakhou Ba"
"187","Gueye","Dieynaba","Dieynaba Gueye","Histoire-Géographie","dieynaba.gueye@lycéemariamaba.sn","F","13","Lycée Mariama Ba"
"188","Diallo","Maimouna","Maimouna Diallo","Français","maimouna.diallo@lycéeelhadjiomartall.sn","F","30","Lycée El Hadji Omar Tall"
"189","Fall","Coumba","Coumba Fall","Français","coumba.fall@institutblaisediagne.sn","F","93","Institut Blaise Diagne"
"190","Ba","Dieynaba","Dieynaba Ba","Sciences Naturelles","dieynaba.ba@collègeelhadjiomartall.sn","F","46","Collège El Hadji Omar Tall"
"191","Faye","Ibrahima","Ibrahima Faye","Mathématiques","ibrahima.faye@écoleléopoldsédarsenghor.sn","M","10","École Léopold Sédar Senghor"
"192","Seck","Astou","Astou Seck","Histoire-Géographie","astou.seck@écoleblaisediagne.sn","F","19","École Blaise Diagne"
"193","Cisse","Babacar","Babacar Cisse","Sciences Physiques","babacar.cisse@lycéeblaisediagne.sn","M","80","Lycée Blaise Diagne"
"194","Thiam","Aminata","Aminata Thiam","Informatique","aminata.thiam@écolecheikhantadiop.sn","F","23","École Cheikh Anta Diop"
"195","Diouf","Ibrahima","Ibrahima Diouf","Sciences Naturelles","ibrahima.diouf@collègecheikhantadiop.sn","M","45","Collège Cheikh Anta Diop"
"196","Ndour","Amadou","Amadou Ndour","Mathématiques","amadou.ndour@lycéeléopoldsédarsenghor.sn","M","61","Lycée Léopold Sédar Senghor"
"197","Seck","Cheikh","Cheikh Seck","Informatique","cheikh.seck@écoleblaisediagne.sn","M","78","École Blaise Diagne"
"198","Gueye","Pape","Pape Gueye","Sciences Physiques","pape.gueye@collègecheikhantadiop.sn","M","1","Collège Cheikh Anta Diop"
"199","Diouf","Dieynaba","Dieynaba Diouf","Histoire-Géographie","dieynaba.diouf@lycéecheikhantadiop.sn","F","2","Lycée Cheikh Anta Diop"
"200","Ba","Abdou","Abdou Ba","Sciences Physiques","abdou.ba@collègeelhadjiomartall.sn","M","46","Collège El Hadji Omar Tall"
"201","Kane","Baba","Baba Kane","Sciences Naturelles","baba.kane@institutelhadjiomartall.sn","M","68","Institut El Hadji Omar Tall"
"202","Ndour","Fatou","Fatou Ndour","Sciences Naturelles","fatou.ndour@écoleelhadjiomartall.sn","F","8","École El Hadji Omar Tall"
